sentence_id,document_id,source_line,text,reference_label,uncertainty,annotator_id,rationale,codebook_version,codebook_hash,derived,transformation
s001,J001,1,Paid 12-week training is provided.,training,certain,team_reference,States an offered training program,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s002,J001,2,No prior data experience is required.,requirement,certain,team_reference,States an entry condition about experience,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s003,J001,3,Evening schedules are available.,schedule,certain,team_reference,States when work can occur,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s004,J001,4,Applicants need basic spreadsheet skills.,skill,certain,team_reference,Names an ability used in the job,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s005,J002,1,A high school diploma is required.,requirement,certain,team_reference,States an education requirement,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s006,J002,2,The employer pays for certification training.,training,certain,team_reference,States an offered training benefit,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s007,J002,3,Rotating night shifts are part of the job.,schedule,certain,team_reference,States when work occurs,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s008,J002,4,Workers must be able to lift 50 pounds.,requirement,certain,team_reference,States a physical condition for the job,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s009,J003,1,A portfolio is required.,requirement,certain,team_reference,States an application requirement,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
s010,J003,2,Six months of experience is preferred.,requirement,certain,team_reference,States a preferred experience condition,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,false,verbatim
