doc_id,record_type,doc_date,source_type,sender_role,subject,review_request,reference_responsive,reference_reason,construction_subtype,near_duplicate_of,text,author_note,construction_id,file_position
RYD-0001,review,2026-03-25,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the delivery arrives count the mismatched folder boxes.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0001,1
RYD-0002,review,2026-05-11,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: We have two open seats in the tax form clinic after one cancellation.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0002,2
RYD-0003,review,2026-03-06,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not send the workshop invite without the new room and revised start time.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0003,3
RYD-0004,review,2026-05-18,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Reminder: Please refill the badge sleeves before the Tuesday visitor group arrives, then restock the reception tray.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0004,4
RYD-0005,review,2026-04-07,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Use the library partner's headcount for Thursday outreach when packing materials.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0005,5
RYD-0006,review,2026-03-11,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,"The classroom inspection drill note belongs in the training folder, not the Calder Yard file.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0006,6
RYD-0007,review,2026-03-23,ticket,records assistant,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The east entrance mat is curling again. Maintenance can tape it down.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0007,7
RYD-0008,review,2026-04-30,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,"Forwarding from intake: The contract file should show the inspection as pending, not delayed.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0008,8
RYD-0009,review,2026-04-08,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the workshop name tents near the registration table for pickup.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0009,9
RYD-0010,review,2026-04-30,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the clean serving tongs for the fruit trays once the covers come off.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0010,10
RYD-0011,review,2026-03-12,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Monday update: Do not leave the storage closet unlocked. The evening group uses that hall.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0011,11
RYD-0012,review,2026-05-08,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the printer stalls, ask Omar about the paper tray and switch to plain stock.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0012,12
RYD-0013,review,2026-03-03,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The route notice should stay on the lobby board through Sunday for the weekend learners.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0013,13
RYD-0014,review,2026-05-20,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ask someone to print the workshop feedback forms on green paper for the instructor. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0014,14
RYD-0015,review,2026-04-20,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the webinar return borrowed headsets to the cabinet; charge them first.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0015,15
RYD-0016,review,2026-05-28,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,uses indirect wording about hiding the requested inspection problem,vocabulary mismatch responsive,NA,For today: Do not put the Tuesday problem in the customer packet yet.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0016,16
RYD-0017,review,2026-03-20,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,We received the paper shipment after the morning rush and stacked it near copying. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0017,17
RYD-0018,review,2026-03-14,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I can cover the front desk until Marta returns. Send calls to me. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0018,18
RYD-0019,review,2026-03-16,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I placed a quiet keyboard in the study booth for tomorrow's typing clinic. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0019,19
RYD-0020,review,2026-05-08,email,shift planner,operations note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the projector remote back to the media cabinet; Owen needs it.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0020,20
RYD-0021,review,2026-04-17,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not mix the blue folders with payroll forms; Lila sorted them.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0021,21
RYD-0022,review,2026-05-03,memo,maintenance lead,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the weather call comes, follow the phone tree and update the lobby sign.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0022,22
RYD-0023,review,2026-04-23,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the speaker arrives early, send them to reception and offer the green room key.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0023,23
RYD-0024,review,2026-03-19,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the braille ruler in the tutoring drawer for the accessibility workshop.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0024,24
