task_number,source_file,editorial_status,last_researched,last_code_run,project_narrative_review,project_prose_scan,project_adversarial_review,adversarial_rounds,project_automated_accessibility,manual_accessibility,human_approval,open_limitations
1,1_source_data_loading/01-bits-to-character-encoding.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,2,passed,pending,pending,Constructed example; encoding diagnosis requires source metadata
2,1_source_data_loading/02-manual-typewriting.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,3,passed,pending,pending,Regex behavior depends on the stated engine and character policy
3,1_source_data_loading/03-loading-structured-datafile.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,CSV dialect and missing-value rules must come from the provider
4,1_source_data_loading/04-generating-a-corpus.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Whitespace tokens are not universal words; corpus is synthetic
5,1_source_data_loading/05-loading-from-api.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Displayed catalog records come from a dated fixture; service behavior can change
6,1_source_data_loading/06-text-and-file-scraping.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Synthetic archived page tests selectors and cannot establish live-site coverage
7,1_source_data_loading/07-text-extraction-and-ocr.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,OCR rates use one synthetic flyer and its deterministic degraded derivative; native engines can differ from the recorded 5.3.2 outputs
8,2_training_data_generation/08-manual-annotation.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Reference labels encode one fictional codebook application and are not ground truth
9,2_training_data_generation/09-annotation-with-active-learning.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Small keyword-model scores are not calibrated and have no external validity
10,2_training_data_generation/10-training-data-providers.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Package fixtures demonstrate schemas and are not authenticated source subsets
11,2_training_data_generation/11-crowdsourcing-annotation.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Eleven fictional items cannot estimate reviewer reliability
12,2_training_data_generation/12-textual-data-augmentation.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Synthetic templates add no labor-market observations and still require human review
13,2_training_data_generation/13-rule-based-training-data.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,4,passed,pending,pending,Rules were designed in-sample and challenge cases are not independent evaluation
14,3_word_parsing/14-tokenization.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Token counts describe this 28-sentence corpus only; a subword model trained on so little text is not representative
15,3_word_parsing/15-vocabulary-building.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Coverage and out-of-vocabulary rates come from 28 sentences and estimate nothing about a larger collection
16,3_word_parsing/16-morphological-tagging.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"hunspell is a spelling dictionary with affix rules, not a universal morphological analyzer, and it ignores context"
17,3_word_parsing/17-part-of-speech-tagging.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"Held-out accuracy is measured on web text, so it does not transfer to job postings; per-token accuracy flatters a tagger"
18,3_word_parsing/18-dependency-parsing.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Attachment scores come from 13 weblog posts and do not transfer to job postings
19,4_word_processing/19-stemming.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Stem collisions and misses are counted on 28 sentences only
20,4_word_processing/20-lemmatization.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,The two models are not a fair comparison; one was trained here on a tiny excerpt
21,4_word_processing/21-normalization.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Normalization choices are shown on a few strings and destroy information by design
22,4_word_processing/22-spell-checking.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"A dictionary flags unknown words, not wrong ones; constructed errors are not a sample"
23,4_word_processing/23-negation-recognition.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Trigger words are not scope; the rule is scored on 28 hand-marked sentences
24,5_phrases_and_entities/24-n-grams.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,N-gram sparsity is demonstrated on 28 sentences and estimates nothing general
25,5_phrases_and_entities/25-rule-based-phrase-matching.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Hand-written patterns are scored against hand-marked sentences from one corpus
26,5_phrases_and_entities/26-dependency-noun-chunks.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Chunk agreement is counted on 28 sentences with two models of unequal quality
27,5_phrases_and_entities/27-named-entity-recognition.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,A released model is applied to invented names; its errors show domain mismatch
28,5_phrases_and_entities/28-abbreviation-finding.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Capitalised headings dominate the false positives in this particular corpus
29,6_entity_enrichment/29-price-parsing.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Pay strings are constructed for teaching and are not a sample of real postings
