stream_id,record_type,arrival_order,doc_date,source_type,text,reference_alert,reference_reason,near_duplicate_of,author_note
MON-008,monitoring,1,2026-06-01,news brief,Riverton Skills Centre posts a reminder about fall enrollment.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-003,monitoring,2,2026-06-02,union bulletin,Calder Yard contractor confirms a safety walkthrough next week.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-024,monitoring,3,2026-06-02,vendor post,Syndicated brief: Calder Yard contractor confirms safety walkthrough next week.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,MON-003,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-004,monitoring,4,2026-06-03,civic calendar,Riverton Tidewater hosts a harbour festival unrelated to the Calder city program.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-012,monitoring,5,2026-06-04,news brief,A vendor post says a delayed inspection log at Calder Yard is under review.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-010,monitoring,6,2026-06-05,union bulletin,Community calendar lists a classroom inspection drill at Riverton Skills Centre.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-015,monitoring,7,2026-06-05,vendor post,Wire copy: delayed inspection log at Calder Yard is under review.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,MON-012,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-002,monitoring,8,2026-06-06,civic calendar,City notice says bus passes remain available for workforce classes.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-006,monitoring,9,2026-06-07,news brief,A post mentions Riverton without enough context to pick the city or the town.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-021,monitoring,10,2026-06-09,union bulletin,Maintenance bulletin reports new guardrail signs at Calder Yard.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
