query_id,query,probe_type,passage_id,relevant,judged_by
S1,somewhere for my kid during night class,vocabulary mismatch,H01,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H02,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H03,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H04,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H05,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H06,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H07,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H08,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H09,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H10,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H11,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H12,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H13,1,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H14,0,"page author, before any index was built"
S1,somewhere for my kid during night class,vocabulary mismatch,H15,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H01,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H02,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H03,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H04,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H05,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H06,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H07,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H08,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H09,1,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H10,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H11,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H12,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H13,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H14,0,"page author, before any index was built"
S2,DSC-104,exact identifier with near misses,H15,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H01,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H02,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H03,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H04,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H05,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H06,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H07,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H08,1,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H09,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H10,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H11,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H12,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H13,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H14,0,"page author, before any index was built"
S3,money while I train,vocabulary mismatch,H15,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H01,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H02,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H03,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H04,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H05,1,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H06,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H07,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H08,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H09,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H10,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H11,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H12,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H13,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H14,0,"page author, before any index was built"
S4,free ride to class,vocabulary mismatch,H15,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H01,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H02,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H03,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H04,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H05,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H06,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H07,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H08,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H09,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H10,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H11,1,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H12,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H13,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H14,0,"page author, before any index was built"
S5,weekend forklift classes,negated fact,H15,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H01,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H02,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H03,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H04,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H05,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H06,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H07,1,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H08,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H09,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H10,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H11,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H12,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H13,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H14,0,"page author, before any index was built"
S6,what should I bring to enroll,paraphrase,H15,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H01,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H02,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H03,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H04,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H05,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H06,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H07,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H08,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H09,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H10,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H11,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H12,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H13,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H14,0,"page author, before any index was built"
S7,can I take the laptop home,lexical overlap,H15,1,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H01,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H02,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H03,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H04,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H05,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H06,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H07,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H08,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H09,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H10,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H11,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H12,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H13,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H14,0,"page author, before any index was built"
S8,cafeteria lunch menu,out of scope,H15,0,"page author, before any index was built"
