passage_id,topic,text,source,author_note
H01,location,Classes are held at the Riverton Skills Centre on Mill Street in Riverton.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H02,contact,"The enrollment desk answers phone calls from 9 a.m. to 5 p.m., Monday to Friday. Messages left after hours are returned the next business day.",Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H03,programs,The Riverton Skills Centre runs two programs this fall: the Data Support Certificate and the Forklift Operator Licence course.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H04,forklift eligibility,Forklift Operator Licence applicants must be at least 18 years old and able to lift 50 pounds.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H05,transit,Marrow County Transit bus passes are provided for the first month of either program. Riders pay the regular $2 fare after that.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H06,data schedule,Data Support Certificate classes meet on Monday and Wednesday evenings from 6 p.m. to 9 p.m. The course lasts 12 weeks.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H07,enrollment documents,Bring a photo ID and proof of address to your enrollment appointment.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H08,stipend,Data Support Certificate students receive a training stipend of $150 per week. Students must attend at least 90 percent of classes to receive it.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H09,course codes,"In the enrollment system, the Data Support Certificate is listed as course DSC-104 and the forklift course is listed as FOL-210.",Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H10,refresher workshop,"An optional spreadsheet refresher workshop, listed as DSC-105, meets on two Saturday mornings in September. It does not count toward the certificate.",Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H11,forklift schedule,Forklift Operator Licence classes meet on Tuesday and Thursday mornings from 8 a.m. to noon. There are no weekend forklift classes.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H12,data eligibility,No prior data experience is required for the Data Support Certificate. Applicants need basic spreadsheet skills.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H13,child care,Free child care is available in Room 104 during evening classes for children aged 3 to 10.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H14,deadline,Applications for both fall programs close on October 15.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
H15,laptops,Laptops are provided in class for Data Support Certificate students and may not be taken home.,Constructed Riverton Skills Centre fall handbook,"Invented by the site author for teaching; not a real program, policy, or benchmark."
